                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0468,                 2.8137,                 1.4029,                0.00318,                0.95522,                0.00668,                0.00342,                 1.3919,                  4.381,                 1.1937,                0.00024,                0.00024,                0.00024
                      2,                0.76924,                 1.7131,                 1.1945,                0.00323,                0.97015,                0.04477,                0.02042,                 1.3881,                 3.9999,                 1.0928,              0.0004967,              0.0004967,              0.0004967
                      3,                 0.7993,                 1.5068,                 1.1948,                0.06144,                 0.0355,                0.09245,                0.04569,                 1.3221,                  4.022,                 1.0687,             0.00074997,             0.00074997,             0.00074997
                      4,                0.87743,                 1.4262,                 1.2397,                0.17093,                0.24378,                0.09615,                0.03082,                 2.1333,                 4.3808,                 1.3857,              0.0009998,              0.0009998,              0.0009998
                      5,                0.92359,                 1.4357,                  1.221,                0.23756,                0.24876,                0.15928,                0.05019,                 1.7456,                 4.4372,                 1.3802,              0.0012462,              0.0012462,              0.0012462
                      6,                0.88721,                 1.3098,                  1.238,                0.53267,                0.34826,                0.37809,                0.17612,                 1.7941,                 3.8008,                 1.2781,              0.0014892,              0.0014892,              0.0014892
                      7,                0.91641,                 1.2428,                 1.2869,                0.07315,                0.47264,                0.06241,                0.03358,                 1.4906,                 4.2435,                 1.2996,              0.0017287,              0.0017287,              0.0017287
                      8,                0.97119,                 1.2479,                 1.2858,                0.29833,                0.61194,                0.25558,                0.13903,                  1.442,                  3.378,                 1.4641,              0.0019076,              0.0019076,              0.0019076
                      9,                0.91676,                 1.2899,                 1.2552,                  0.195,                0.51741,                0.15318,                0.08448,                 1.4945,                 3.5293,                 1.4455,              0.0019076,              0.0019076,              0.0019076
                     10,                0.89696,                 1.1659,                 1.2535,                0.24834,                0.51741,                0.24305,                0.13899,                 1.4774,                 3.9916,                 1.4033,              0.0018944,              0.0018944,              0.0018944
                     11,                0.88022,                 1.0571,                 1.2128,                0.59507,                0.55721,                0.58674,                0.32333,                 1.4968,                 3.7966,                 1.3715,              0.0018812,              0.0018812,              0.0018812
                     12,                0.89228,                 1.1428,                 1.2681,                0.59907,                 0.5724,                0.56147,                0.30285,                 1.4838,                 2.8396,                 1.3425,               0.001868,               0.001868,               0.001868
                     13,                0.85507,                 1.0557,                 1.2113,                0.67522,                0.66667,                0.67393,                0.36598,                 1.4973,                 2.1922,                 1.4015,              0.0018548,              0.0018548,              0.0018548
                     14,                0.82256,                0.98955,                 1.2277,                0.65552,                0.49751,                0.56758,                0.31331,                 1.5165,                 2.5071,                 1.4024,              0.0018416,              0.0018416,              0.0018416
                     15,                0.83546,                0.96165,                  1.197,                0.77717,                0.61692,                0.72432,                0.40862,                 1.4039,                 2.7622,                 1.3415,              0.0018284,              0.0018284,              0.0018284
                     16,                0.84282,                0.97591,                 1.1832,                 0.5899,                0.57967,                0.58381,                0.25726,                 1.6181,                 2.2098,                 1.4352,              0.0018152,              0.0018152,              0.0018152
                     17,                0.88485,                0.97737,                 1.2126,                 0.8078,                0.50746,                0.65584,                0.33297,                 1.6135,                  2.365,                 1.4099,               0.001802,               0.001802,               0.001802
                     18,                0.85303,                 0.9469,                 1.1967,                 0.2271,                0.38806,                0.16521,                0.05632,                 2.0939,                  2.991,                 1.7268,              0.0017888,              0.0017888,              0.0017888
                     19,                0.80847,                0.86224,                 1.1801,                0.04252,                0.38308,                0.03306,                0.01535,                    1.7,                 4.7918,                 1.5262,              0.0017756,              0.0017756,              0.0017756
                     20,                0.87282,                0.91834,                 1.1749,                0.62362,                0.77612,                0.70716,                0.36892,                 1.5256,                 2.6328,                 1.4686,              0.0017624,              0.0017624,              0.0017624
                     21,                0.74932,                0.79465,                 1.1396,                0.10501,                0.49254,                0.08851,                0.04146,                 1.7603,                 3.7246,                 1.4983,              0.0017492,              0.0017492,              0.0017492
                     22,                0.77689,                0.83244,                 1.1697,                0.69383,                0.64179,                0.67951,                0.29608,                 1.7603,                 1.6356,                 1.4875,               0.001736,               0.001736,               0.001736
                     23,                0.77585,                 0.7895,                 1.1579,                0.80975,                0.65672,                 0.7736,                0.41429,                  1.483,                 1.6755,                 1.3105,              0.0017228,              0.0017228,              0.0017228
                     24,                0.76761,                0.77982,                 1.1377,                0.80376,                0.87065,                 0.8768,                0.46818,                 1.4036,                 1.2906,                 1.2204,              0.0017096,              0.0017096,              0.0017096
                     25,                 0.7723,                0.78164,                  1.165,                0.65072,                0.67662,                0.72556,                0.35761,                 1.4888,                 1.7605,                 1.2494,              0.0016964,              0.0016964,              0.0016964
                     26,                0.73733,                0.70903,                 1.1233,                 0.8355,                0.79602,                0.84503,                0.41697,                 1.4856,                 1.5299,                  1.256,              0.0016832,              0.0016832,              0.0016832
                     27,                0.72165,                0.67638,                 1.1004,                0.84304,                0.72139,                0.80982,                0.43074,                 1.4724,                 1.4114,                 1.2505,                0.00167,                0.00167,                0.00167
                     28,                0.75099,                0.68212,                 1.1245,                   0.58,                0.68159,                0.56996,                0.28842,                 1.5728,                 1.6321,                 1.3362,              0.0016568,              0.0016568,              0.0016568
                     29,                0.74802,                0.71258,                 1.0932,                0.70364,                0.71144,                0.72035,                0.41254,                 1.3804,                 1.3805,                 1.2602,              0.0016436,              0.0016436,              0.0016436
                     30,                0.74341,                 0.6607,                 1.1098,                0.78126,                0.56716,                0.62211,                0.34147,                 1.4848,                 1.9508,                 1.2837,              0.0016304,              0.0016304,              0.0016304
                     31,                0.72605,                0.70319,                 1.1288,                0.41215,                0.26866,                0.27607,                0.15186,                 1.5472,                 2.9031,                 1.2721,              0.0016172,              0.0016172,              0.0016172
                     32,                0.76142,                0.67888,                 1.1437,                0.80501,                0.54726,                 0.6435,                0.33595,                 1.5916,                 1.8625,                 1.3348,               0.001604,               0.001604,               0.001604
                     33,                0.70656,                0.63913,                 1.1021,                 0.8462,                0.69652,                0.83527,                0.45137,                 1.5257,                 1.2737,                 1.3419,              0.0015908,              0.0015908,              0.0015908
                     34,                0.65128,                0.57353,                 1.0776,                0.84019,                0.72139,                0.86761,                0.48748,                 1.4507,                 1.1472,                 1.2716,              0.0015776,              0.0015776,              0.0015776
                     35,                0.67641,                 0.6515,                 1.0922,                0.71357,                0.73134,                0.77926,                0.36666,                 1.6871,                 1.3335,                 1.4355,              0.0015644,              0.0015644,              0.0015644
                     36,                0.68994,                 0.6229,                 1.0913,                0.64292,                0.64179,                0.66227,                0.29732,                 1.7767,                 1.9042,                 1.5626,              0.0015512,              0.0015512,              0.0015512
                     37,                0.68975,                0.64112,                 1.0989,                0.50396,                0.55096,                0.44771,                0.22634,                 1.6462,                 1.8895,                 1.4327,               0.001538,               0.001538,               0.001538
                     38,                 0.6949,                0.61431,                 1.0875,                0.47103,                0.69652,                0.46373,                0.23082,                 1.6069,                 1.6493,                 1.4079,              0.0015248,              0.0015248,              0.0015248
                     39,                0.68563,                0.63998,                 1.1161,                 0.6477,                0.72637,                0.68171,                0.33757,                 1.6726,                 1.5799,                 1.4211,              0.0015116,              0.0015116,              0.0015116
                     40,                0.69562,                0.61331,                 1.0984,                0.94679,                0.79671,                 0.8905,                 0.4959,                 1.3947,                 1.7086,                 1.2642,              0.0014984,              0.0014984,              0.0014984
                     41,                0.64217,                0.56665,                 1.0798,                0.94106,                0.79104,                0.88619,                0.47406,                 1.4433,                 1.3819,                 1.2406,              0.0014852,              0.0014852,              0.0014852
                     42,                0.66544,                0.60331,                 1.0755,                0.86378,                 0.8209,                0.88648,                0.46928,                 1.5517,                 1.1891,                 1.2965,               0.001472,               0.001472,               0.001472
                     43,                0.63874,                0.58522,                 1.0559,                0.93776,                 0.8209,                0.91409,                0.49474,                 1.5118,                 1.0334,                 1.3099,              0.0014588,              0.0014588,              0.0014588
                     44,                0.65646,                0.55852,                 1.0941,                0.81457,                0.71144,                0.82333,                 0.4322,                 1.5064,                 1.5465,                  1.316,              0.0014456,              0.0014456,              0.0014456
                     45,                0.65906,                0.55586,                  1.079,                0.77219,                0.72515,                 0.8077,                0.38532,                 1.6409,                 1.3706,                 1.3958,              0.0014324,              0.0014324,              0.0014324
                     46,                0.60873,                0.53284,                 1.0659,                0.79996,                0.71642,                0.83648,                 0.4564,                 1.4009,                 1.1983,                 1.2024,              0.0014192,              0.0014192,              0.0014192
                     47,                0.62772,                0.54982,                 1.0741,                0.75945,                  0.801,                0.83488,                0.46988,                 1.3975,                 1.1022,                 1.2374,               0.001406,               0.001406,               0.001406
                     48,                0.66625,                0.58675,                 1.0898,                0.88098,                0.77335,                0.87425,                0.48817,                 1.4562,                 1.1844,                 1.2661,              0.0013928,              0.0013928,              0.0013928
                     49,                0.61758,                0.51809,                   1.07,                0.95956,                 0.8263,                0.93703,                 0.5426,                 1.4168,                 1.0057,                 1.2547,              0.0013796,              0.0013796,              0.0013796
                     50,                 0.6092,                 0.5473,                 1.0603,                 0.9543,                 0.8408,                 0.9283,                0.53346,                 1.4627,                 1.2969,                 1.3146,              0.0013664,              0.0013664,              0.0013664
                     51,                0.61105,                0.52127,                 1.0659,                 0.9094,                0.85572,                0.93428,                0.55313,                  1.399,                0.97754,                 1.2676,              0.0013532,              0.0013532,              0.0013532
                     52,                0.64649,                 0.5272,                 1.0677,                0.80509,                0.77612,                0.83146,                0.41065,                 1.6585,                 1.1743,                 1.3861,                0.00134,                0.00134,                0.00134
                     53,                0.57689,                0.49759,                 1.0344,                0.88062,                0.81592,                 0.8948,                0.49121,                 1.4927,                 1.0655,                 1.3104,              0.0013268,              0.0013268,              0.0013268
                     54,                0.62794,                0.53599,                 1.0297,                0.89453,                0.85572,                0.91055,                0.45844,                 1.5294,                0.99888,                 1.3372,              0.0013136,              0.0013136,              0.0013136
                     55,                0.56698,                0.52073,                 1.0202,                0.92577,                0.88557,                0.95064,                0.50498,                 1.4645,                0.88222,                 1.2715,              0.0013004,              0.0013004,              0.0013004
                     56,                 0.5814,                0.50077,                 1.0451,                0.79645,                0.85572,                  0.847,                0.49239,                 1.3366,                 1.0645,                  1.197,              0.0012872,              0.0012872,              0.0012872
                     57,                0.61685,                0.51551,                 1.0293,                 0.6713,                0.78236,                0.74642,                0.40317,                 1.4689,                 1.5482,                 1.2968,               0.001274,               0.001274,               0.001274
                     58,                0.57257,                0.48412,                 1.0116,                0.80963,                0.81095,                0.83758,                 0.4479,                 1.5009,                 1.2747,                 1.2982,              0.0012608,              0.0012608,              0.0012608
                     59,                0.57263,                0.49484,                 1.0499,                0.83588,                0.78549,                0.85117,                  0.477,                 1.4415,                 1.1533,                 1.2498,              0.0012476,              0.0012476,              0.0012476
                     60,                0.58201,                0.49103,                 1.0224,                0.44144,                0.80597,                0.50285,                0.26418,                 1.5095,                 2.4189,                 1.3151,              0.0012344,              0.0012344,              0.0012344
                     61,                0.54822,                0.47358,                 1.0303,                0.64724,                0.83085,                 0.6722,                0.39514,                 1.3699,                 1.3338,                 1.2019,              0.0012212,              0.0012212,              0.0012212
                     62,                 0.5444,                0.44897,                 1.0214,                0.81578,                0.79602,                0.84689,                0.49867,                 1.3464,                 1.0114,                 1.1707,               0.001208,               0.001208,               0.001208
                     63,                0.54941,                0.44639,                 1.0001,                0.82584,                 0.8493,                0.88205,                0.50619,                  1.365,                 1.0149,                 1.1989,              0.0011948,              0.0011948,              0.0011948
                     64,                0.57428,                0.46577,                 1.0147,                0.86483,                0.83085,                0.90956,                0.52435,                 1.3692,                 1.2444,                 1.2157,              0.0011816,              0.0011816,              0.0011816
                     65,                0.56016,                0.46675,                 1.0354,                0.92449,                0.85278,                0.92869,                0.52326,                 1.4335,                0.83831,                 1.2712,              0.0011684,              0.0011684,              0.0011684
                     66,                0.57309,                0.47351,                 1.0145,                0.96075,                0.87065,                0.95178,                0.53536,                  1.395,                0.79808,                 1.2517,              0.0011552,              0.0011552,              0.0011552
                     67,                0.56285,                 0.4824,                 1.0067,                0.97204,                0.85572,                0.93094,                0.54794,                 1.3915,                0.93412,                 1.2714,               0.001142,               0.001142,               0.001142
                     68,                0.58858,                0.49728,                 1.0226,                0.97513,                0.77612,                0.85586,                0.50624,                 1.4765,                 1.1615,                 1.2849,              0.0011288,              0.0011288,              0.0011288
                     69,                0.56299,                0.46711,                 1.0302,                0.93517,                0.74129,                0.81782,                0.48304,                 1.4748,                 1.3059,                 1.2535,              0.0011156,              0.0011156,              0.0011156
                     70,                0.53684,                 0.4603,                 1.0211,                0.90462,                0.68657,                0.79831,                0.47485,                 1.4294,                 1.3534,                  1.245,              0.0011024,              0.0011024,              0.0011024
                     71,                0.54757,                0.46128,                 1.0196,                0.89037,                0.80811,                0.88576,                0.52965,                 1.3484,                0.93986,                 1.1991,              0.0010892,              0.0010892,              0.0010892
