                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0307,                   2.18,                 1.2854,                      1,                0.22115,                0.59912,                 0.2406,                 1.4722,                 3.7874,                 1.2317,             0.00065657,             0.00065657,             0.00065657
                      2,                 1.0638,                 1.5914,                 1.2882,                0.17843,                0.61194,                0.17254,                0.10071,                 1.3456,                 6.2512,                 1.2496,              0.0013189,              0.0013189,              0.0013189
                      3,                 1.1325,                 1.4303,                 1.3592,                0.67913,                0.70647,                0.71004,                0.36389,                 1.4379,                 4.7896,                 1.3737,              0.0019768,              0.0019768,              0.0019768
                      4,                 1.1188,                 1.2524,                 1.3681,                0.67211,                0.72406,                0.72201,                0.41352,                 1.4061,                 3.9836,                 1.3271,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.1029,                 1.2018,                 1.3314,                0.92291,                0.83391,                0.88621,                0.45771,                 1.6151,                 1.5723,                 1.3386,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.0769,                  1.056,                 1.3059,                0.85956,                0.83085,                0.88715,                 0.5106,                 1.4437,                  1.227,                  1.234,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.0284,                0.99129,                 1.2763,                0.97898,                0.81095,                0.92428,                0.53372,                 1.4318,                 1.4028,                 1.2085,               0.001967,               0.001967,               0.001967
                      8,                 1.0162,                0.95949,                 1.2723,                0.91059,                0.79602,                 0.8856,                0.54961,                 1.2971,                 1.2033,                 1.1788,              0.0019604,              0.0019604,              0.0019604
                      9,                0.94874,                 0.8837,                 1.2272,                0.96305,                0.84577,                0.94047,                0.55894,                  1.299,                 1.0585,                 1.1755,              0.0019538,              0.0019538,              0.0019538
                     10,                0.98826,                0.92067,                 1.2255,                0.96307,                0.77846,                0.91523,                0.55075,                 1.2654,                  1.122,                 1.1522,              0.0019472,              0.0019472,              0.0019472
                     11,                0.95333,                0.85602,                 1.2204,                0.61138,                0.83748,                0.65167,                0.40714,                 1.2925,                 1.8727,                 1.1977,              0.0019406,              0.0019406,              0.0019406
                     12,                0.96658,                0.83389,                 1.2074,                  0.936,                0.89552,                0.96735,                0.55778,                  1.448,                0.84498,                 1.2332,               0.001934,               0.001934,               0.001934
                     13,                0.94209,                0.79048,                 1.1954,                0.91013,                0.80618,                0.91758,                0.51478,                 1.3169,                 0.9985,                 1.1596,              0.0019274,              0.0019274,              0.0019274
                     14,                0.90418,                0.78185,                 1.1915,                0.84434,                0.90547,                0.87501,                0.51184,                 1.3974,                0.89286,                 1.2362,              0.0019208,              0.0019208,              0.0019208
                     15,                0.88932,                0.73026,                 1.1918,                0.92853,                0.90495,                 0.9215,                0.58471,                 1.2685,                0.85041,                 1.1582,              0.0019142,              0.0019142,              0.0019142
                     16,                0.88553,                0.73951,                 1.1793,                0.75841,                0.82778,                0.77957,                0.46945,                 1.3349,                 1.3333,                 1.1743,              0.0019076,              0.0019076,              0.0019076
                     17,                0.86559,                0.71946,                  1.174,                0.93984,                0.93264,                0.96726,                0.61347,                 1.2192,                 0.7684,                 1.1281,               0.001901,               0.001901,               0.001901
                     18,                0.86931,                0.72775,                 1.1848,                0.71161,                0.80597,                0.68427,                0.42842,                 1.2536,                 1.1074,                 1.1708,              0.0018944,              0.0018944,              0.0018944
                     19,                0.86567,                   0.69,                 1.1823,                0.87074,                0.90491,                0.92762,                0.59586,                 1.2741,                  1.002,                 1.1804,              0.0018878,              0.0018878,              0.0018878
                     20,                0.84528,                0.68254,                 1.1571,                0.96975,                0.79602,                0.90702,                0.56725,                 1.3304,                 1.0043,                 1.1693,              0.0018812,              0.0018812,              0.0018812
                     21,                0.83288,                0.64668,                 1.1561,                0.97406,                0.93409,                 0.9805,                0.62368,                 1.2786,                0.75234,                 1.1416,              0.0018746,              0.0018746,              0.0018746
                     22,                0.84332,                0.66241,                 1.1578,                0.95305,                0.88557,                0.94868,                0.59428,                 1.2578,                0.81634,                 1.1574,               0.001868,               0.001868,               0.001868
                     23,                0.82949,                0.66063,                 1.1625,                0.89258,                0.72637,                0.86239,                0.52108,                 1.3149,                0.95239,                 1.1666,              0.0018614,              0.0018614,              0.0018614
                     24,                0.81454,                0.66691,                  1.132,                0.87105,                0.94096,                0.95274,                 0.6034,                 1.2725,                0.73871,                 1.1519,              0.0018548,              0.0018548,              0.0018548
                     25,                0.80439,                0.63472,                 1.1277,                0.97985,                0.82587,                0.93471,                0.56661,                 1.2647,                0.92046,                  1.146,              0.0018482,              0.0018482,              0.0018482
                     26,                0.80944,                 0.6648,                 1.1152,                 0.8155,                0.93532,                0.87213,                0.49925,                 1.3368,                 0.9109,                 1.2203,              0.0018416,              0.0018416,              0.0018416
                     27,                 0.8074,                0.63964,                 1.1337,                0.87236,                0.91806,                0.94689,                0.57716,                 1.3725,                0.86727,                 1.1741,               0.001835,               0.001835,               0.001835
                     28,                0.81981,                0.64167,                 1.1296,                0.87499,                0.87055,                0.94127,                0.57628,                 1.3341,                0.95278,                 1.1621,              0.0018284,              0.0018284,              0.0018284
                     29,                0.82391,                 0.6347,                 1.1328,                0.95753,                0.89552,                0.97251,                0.63028,                  1.218,                0.72613,                 1.1092,              0.0018218,              0.0018218,              0.0018218
                     30,                0.80705,                0.61288,                 1.1379,                0.97218,                0.86918,                0.95045,                0.55523,                 1.3396,                0.79397,                 1.1684,              0.0018152,              0.0018152,              0.0018152
                     31,                0.79642,                0.60648,                 1.1278,                0.93663,                0.95587,                0.96183,                0.59736,                 1.2969,                0.68186,                 1.1418,              0.0018086,              0.0018086,              0.0018086
                     32,                0.78835,                0.58308,                 1.1145,                0.78708,                0.86437,                0.84702,                 0.4885,                 1.4318,                0.90665,                 1.2425,               0.001802,               0.001802,               0.001802
                     33,                0.78176,                0.56832,                 1.1124,                 0.9764,                0.82327,                0.93779,                0.60278,                 1.2781,                0.80245,                 1.1292,              0.0017954,              0.0017954,              0.0017954
                     34,                 0.7681,                0.55174,                 1.1039,                0.94254,                0.89055,                0.96506,                0.60448,                 1.3234,                0.77598,                 1.1491,              0.0017888,              0.0017888,              0.0017888
